"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"58","Purapuzha CHC Area","2014-15",3,"1,025","875","466",85.4,45.5,"925","485",90.2,47.3,"955",93.2,"71","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"27","874",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"59","Rajakkadu CHC Area","2014-15",3,"1,129","974","724",86.3,64.1,"936","651",82.9,57.7,"1,010",89.5,"25","0",0,0.2,3,1,2,33.3,0,0,"0",0,NA,"9",0.8,"12",75,83.3,25,"0","6",66.7,NA,66.7,0,NA,NA,100,"27","859",225,7158.3,"11",91.7,0,100,"11",100,"1",9.1
"60","THQH Adimaly","2014-15",3,"15","13","9",86.7,60,"15","574",100,3826.7,"649",4326.7,"791","23",2.9,906.7,NA,NA,NA,NA,NA,NA,"1,686",0,0,"2,232",4880,"2,232",100,100,0,"732","270",44.9,43.4,49.5,75.5,50.4,0,24.5,"2,234","1",100.1,0,"2,242",100.4,9,99.6,"2,242",100,"352",15.7
"61","THQH Nedumkandom","2014-15",3,"40","26","16",65,40,"35","312",87.5,780,"77",192.5,"2","0",0,0,NA,NA,NA,NA,NA,NA,"45",2,4.4,"734",1835,"734",100,100,0,"19","342",49.2,42.2,49.6,6.1,240,0,93.9,"374","161",51,21.9,"738",100.5,1,99.9,"738",100,"128",17.3
"62","THQH Peerumedu","2014-15",3,"9","6","8",66.7,88.9,"20","41",222.2,455.6,"19",211.1,"18","0",0,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"3","23",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"63","THQH Thodupuzha","2014-15",3,"581","414","140",71.3,24.1,"501","3,072",86.2,528.7,"1,011",174,"2,127","27",1.3,52.3,NA,NA,NA,NA,NA,NA,"1,005",0,0,"4,858",836.1,"4,858",100,100,0,"469","1,961",50,46.7,50.9,20.7,30.4,3.5,79.3,"4,863","4,520",100.1,93,"4,911",101.1,12,99.8,"4,884",99.5,"493",10.1
"64","Upputhara CHC Area","2014-15",3,"2,945","2,485","1,428",84.4,48.5,"2,532","2,118",86,71.9,"2,304",78.2,"202","0",0,0.6,6,1,5,16.7,0,0,"0",0,NA,"1,848",62.8,"1,854",99.7,99.7,0.3,"0","862",46.6,NA,46.6,0,NA,NA,100,"1,847","4,151",99.6,223.9,"1,867",100.7,8,99.6,"1,867",100,"273",14.6
"65","Vandiperiyar CHC Area","2014-15",3,"1,979","1,792","1,320",90.6,66.7,"1,899","2,025",96,102.3,"2,142",108.2,"20","0",0,0.4,13,1,12,7.7,1,7.7,"0",1,NA,"854",43.2,"867",98.5,98.6,1.5,"0","411",48.1,NA,48.1,0,NA,NA,100,"864","1,645",99.7,189.7,"865",99.8,6,99.3,"862",99.7,"93",10.8
"67","Azhikode CHCArea","2014-15",4,"2,553","2,048","781",80.2,30.6,"2,383","2,728",93.3,106.9,"2,414",94.6,"197","0",0,1.2,0,0,0,NA,0,NA,"0",0,NA,"1,191",46.7,"1,191",100,100,0,"0","746",62.6,NA,62.6,0,NA,NA,100,"1,192","1,803",100.1,151.4,"1,204",101.1,2,99.8,"1,204",100,"206",17.1
"68","Chittariparamba PHCArea","2014-15",4,"2,108","1,762","843",83.6,40,"2,099","1,153",99.6,54.7,"2,057",97.6,"149","46",30.9,0.9,0,0,0,NA,0,NA,"0",0,NA,"953",45.2,"953",100,100,0,"0","343",36,NA,36,0,NA,NA,100,"951","1,957",99.8,205.4,"953",100,4,99.6,"953",100,"41",4.3
"69","DH Kannur","2014-15",4,"719","548","328",76.2,45.6,"697","1,441",96.9,200.4,"675",93.9,"221","43",19.5,42.7,NA,NA,NA,NA,NA,NA,"3,458",0,0,"10,863",1510.8,"10,863",100,100,0,"1,898","3,023",45.3,54.9,40.8,31.8,54.6,3.3,68.2,"10,855","6,440",99.9,59.3,"10,866",100,26,99.8,"10,869",100,"648",6
"70","Ezhome PHCArea","2014-15",4,"2,421","2,082","608",86,25.1,"2,518","1,576",104,65.1,"2,608",107.7,"29",NA,0,0.8,1,0,1,0,0,0,"0",0,NA,"1,689",69.8,"1,690",99.9,99.9,0.1,"0","558",33,NA,33,0,NA,NA,100,"1,689","2,022",99.9,119.6,"1,681",99.5,9,99.5,"1,681",100,"185",11
"71","GH Thalassery","2014-15",4,"548","442","74",80.7,13.5,"477","3,955",87,721.7,"454",82.8,"31","0",0,1.8,NA,NA,NA,NA,NA,NA,"4,220",0,0,"11,894",2170.4,"11,894",100,100,0,"2,060","3,943",50.5,48.8,51.4,35.5,69.7,0,64.5,"11,893","7,701",100,64.7,"11,897",100,38,99.7,"11,897",100,"1,152",9.7
"72","Iritty CHCArea","2014-15",4,"4,872","4,121","2,052",84.6,42.1,"4,693","3,451",96.3,70.8,"4,793",98.4,"36","0",0,0.3,2,1,1,50,0,0,"2",0,0,"2,128",43.7,"2,130",99.9,100,0.1,"0","836",39.3,0,39.3,0.1,0,0,99.9,"2,132","3,718",100.1,174.6,"2,130",100,4,99.8,"2,130",100,"123",5.8
"73","Iriveri CHCArea","2014-15",4,"4,609","3,822","1,148",82.9,24.9,"4,352","3,071",94.4,66.6,"4,482",97.2,"60","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"314",6.8,"314",100,100,0,"0","123",39.2,NA,39.2,0,NA,NA,100,"314","2,831",100,901.6,"315",100.3,1,99.7,"315",100,"17",5.4
"74","Keezhpally PHCArea","2014-15",4,"1,861","1,601","1,473",86,79.2,"1,812","896",97.4,48.1,"1,945",104.5,"108",NA,0,0.9,8,0,8,0,4,50,"0",1,NA,"2",0.1,"10",20,20,80,"0",NA,0,NA,0,0,NA,NA,100,"9","1,081",90,810,"11",110,0,100,"11",100,"7",63.6
"75","Mayyil CHCArea","2014-15",4,"3,273","2,813","1,377",85.9,42.1,"3,286","2,694",100.4,82.3,"3,407",104.1,"173","0",0,0.7,1,0,1,0,1,100,"0",0,NA,"838",25.6,"839",99.9,99.9,0.1,"0","309",36.9,NA,36.9,0,NA,NA,100,"793","2,641",94.5,314.8,"842",100.4,0,100,"842",100,"46",5.5
"76","Oduvallithattu CHCArea","2014-15",4,"2,267","2,020","1,025",89.1,45.2,"2,254","1,221",99.4,53.9,"2,222",98,"60","0",0,0.4,3,0,3,0,0,0,"0",0,NA,"8",0.4,"11",72.7,72.7,27.3,"0","3",37.5,NA,37.5,0,NA,NA,100,"10","1,910",90.9,7363.6,"11",100,0,100,"11",100,"1",9.1
"77","Panoor CHCArea","2014-15",4,"2,492","2,079","648",83.4,26,"2,342","859",94,34.5,"2,286",91.7,"31","0",0,0.3,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1,464",100,6400,"1",100,0,100,"1",100,"1",100
"78","Pappinissery CHCArea","2014-15",4,"3,130","2,619","1,056",83.7,33.7,"3,118","1,247",99.6,39.8,"3,013",96.3,"28","0",0,0.2,1,0,1,0,0,0,"0",0,NA,"860",27.5,"861",99.9,99.9,0.1,"0","401",46.6,NA,46.6,0,NA,NA,100,"861","2,274",100,264.1,"868",100.8,0,100,"868",100,"44",5.1
"79","Payyangadi CHCArea","2014-15",4,"3,496","2,852","920",81.6,26.3,"3,439","3,506",98.4,100.3,"3,582",102.5,"22","0",0,0.5,4,0,4,0,0,0,"0",0,NA,"4,754",136,"4,758",99.9,99.9,0.1,"0","1,668",35.1,NA,35.1,0,NA,NA,100,"4,757","5,452",100,114.6,"4,785",100.6,7,99.9,"4,785",100,"286",6
"80","Peringome CHCArea","2014-15",4,"1,973","1,720","743",87.2,37.7,"1,912","934",96.9,47.3,"1,984",100.6,"79","0",0,0.8,4,0,4,0,0,0,"0",11,NA,"2,045",103.6,"2,049",99.8,99.8,0.2,"0","871",42.6,NA,42.6,0,NA,NA,100,"2,048","1,761",100,85.9,"2,041",99.6,72,96.6,"2,041",100,"666",32.6
"81","Pinarayi CHCArea","2014-15",4,"4,803","4,035","1,213",84,25.3,"4,444","2,066",92.5,43,"4,708",98,"69","0",0,1.5,1,0,1,0,0,0,"0",0,NA,"179",3.7,"180",99.4,99.4,0.6,"0","83",46.4,NA,46.4,0,NA,NA,100,"181","2,141",100.6,1189.4,"181",100.6,1,99.5,"181",100,"8",4.4
"82","THQH Kuthuparamba","2014-15",4,"78","71","11",91,14.1,"75","586",96.2,751.3,"75",96.2,"742","1",0.1,0,NA,NA,NA,NA,NA,NA,"86",0,0,"192",246.2,"192",100,100,0,"2","45",24.5,2.3,42.5,44.8,52.3,0,55.2,"192","192",100,100,"189",98.4,3,98.4,"189",100,"18",9.5
"83","THQH Payyannur","2014-15",4,"80","72","26",90,32.5,"80","865",100,1081.3,"80",100,"90","4",4.4,63.8,NA,NA,NA,NA,NA,NA,"633",0,0,"771",963.8,"771",100,100,0,"214","78",37.9,33.8,56.5,82.1,64.3,3.6,17.9,"771","405",100,52.5,"772",100.1,6,99.2,"772",100,"95",12.3
"84","THQH Peravoor","2014-15",4,"0","0","0",NA,NA,"0","141",NA,NA,"31",NA,"45","8",17.8,NA,NA,NA,NA,NA,NA,NA,"172",1,0.6,"172",NA,"172",100,100,0,"0",NA,0,0,NA,100,0,0,0,"173","172",100.6,100,"195",113.4,0,100,"195",100,"21",10.8
"85","THQH Taliparamba","2014-15",4,"105","61","6",58.1,5.7,"99","1,022",94.3,973.3,"113",107.6,"1,282","13",1,100,NA,NA,NA,NA,NA,NA,"2,087",0,0,"4,436",4224.8,"4,436",100,100,0,"846","633",33.3,40.5,26.9,47,18.2,0,53,"4,436","4,436",100,100,"4,450",100.3,25,99.4,"4,450",100,"441",9.9
"86","Wand C hospital mangattuparamba","2014-15",4,"35","31","16",88.6,45.7,"38","600",108.6,1714.3,"56",160,"1,023","46",4.5,131.4,NA,NA,NA,NA,NA,NA,"499",0,0,"499",1425.7,"499",100,100,0,"248",NA,49.7,49.7,NA,100,118.6,4,0,"1,262","1,166",252.9,233.7,"1,269",254.3,5,99.6,"1,269",100,"143",11.3
"88","Bedaduka CHCArea","2014-15",5,"2,988","2,516","927",84.2,31,"2,974","2,669",99.5,89.3,"2,802",93.8,"598","0",0,1.2,2,2,0,100,0,0,"0",0,NA,"525",17.6,"527",99.6,100,0.4,"0","91",17.3,NA,17.3,0,NA,NA,100,"461","2,831",87.5,537.2,"529",100.4,0,100,"529",100,"52",9.8
"89","DH Kanhangad","2014-15",5,"274","231","42",84.3,15.3,"268","1,113",97.8,406.2,"244",89.1,"50","0",0,30.3,NA,NA,NA,NA,NA,NA,"1,731",0,0,"2,774",1012.4,"2,774",100,100,0,"390","218",21.9,22.5,20.9,62.4,74.6,0,37.6,"2,853","233",102.8,8.4,"2,870",103.5,2,99.9,"2,870",100,"409",14.3
"90","GH Kasaragod","2014-15",5,"763","569","248",74.6,32.5,"703","5,143",92.1,674,"928",121.6,"188","68",36.2,2.1,NA,NA,NA,NA,NA,NA,"2,732",0,0,"10,132",1327.9,"10,132",100,100,0,"636","1,667",22.7,23.3,22.5,27,75.8,0,73,"10,756","2,552",106.2,25.2,"10,792",106.5,14,99.9,"10,792",100,"348",3.2
"91","Kumbla CHCArea","2014-15",5,"3,513","2,637","994",75.1,28.3,"3,216","2,194",91.5,62.5,"2,710",77.1,"636","0",0,2.2,7,0,7,0,0,0,"0",0,NA,"1,849",52.6,"1,856",99.6,99.6,0.4,"0","560",30.3,NA,30.3,0,NA,NA,100,"1,853","2,836",99.8,152.8,"1,867",100.6,7,99.6,"1,866",99.9,"178",9.5
"92","Mangalapady CHCArea","2014-15",5,"3,707","2,840","898",76.6,24.2,"3,498","901",94.4,24.3,"3,514",94.8,"219","0",0,0.3,6,0,6,0,0,0,"0",0,NA,"298",8,"304",98,98,2,"0","45",15.1,NA,15.1,0,NA,NA,100,"229","3,270",75.3,1075.7,"303",99.7,3,99,"302",99.7,"25",8.3
"93","Muliyar CHCArea","2014-15",5,"3,707","2,735","952",73.8,25.7,"3,430","1,280",92.5,34.5,"3,017",81.4,"422","0",0,1.1,10,2,8,20,0,0,"0",0,NA,"18",0.5,"28",64.3,71.4,35.7,"0","7",38.9,NA,38.9,0,NA,NA,100,"25","3,328",89.3,1885.7,"28",100,0,100,"28",100,"3",10.7
"94","Nileshwar CHCArea","2014-15",5,"4,888","4,291","1,746",87.8,35.7,"4,702","2,294",96.2,46.9,"4,585",93.8,"699","0",0,1.3,4,1,3,25,0,0,"0",3,NA,"399",8.2,"403",99,99.3,1,"0","89",22.3,NA,22.3,0,NA,NA,100,"370","2,119",91.8,525.8,"401",99.5,2,99.5,"401",100,"22",5.5
"95","Panathady CHCArea","2014-15",5,"1,853","1,658","861",89.5,46.5,"1,833","1,370",98.9,73.9,"1,632",88.1,"326","0",0,1.9,2,0,2,0,0,0,"0",0,NA,"0",0,"2",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"1","1,635",50,1750,"2",100,0,100,"2",100,"1",50
"96","Periye CHCArea","2014-15",5,"3,252","2,807","978",86.3,30.1,"2,952","3,455",90.8,106.2,"2,972",91.4,"471","0",0,2,1,0,1,0,0,0,"0",0,NA,"4,978",153.1,"4,979",100,100,0,"0","1,225",24.6,NA,24.6,0,NA,NA,100,"4,979","2,778",100,55.8,"5,016",100.7,3,99.9,"5,016",100,"430",8.6
"98","Anchal CHCArea","2014-15",6,"2,049","1,706","927",83.3,45.2,"2,046","1,353",99.9,66,"1,937",94.5,"90","0",0,3.7,5,1,4,20,0,0,"0",0,NA,"683",33.3,"688",99.3,99.4,0.7,"0","383",56.1,NA,56.1,0,NA,NA,100,"687","1,987",99.9,288.8,"691",100.4,0,100,"690",99.9,"26",3.8
"99","Chavara CHCArea","2014-15",6,"1,538","1,336","791",86.9,51.4,"1,429","537",92.9,34.9,"1,491",96.9,"10","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,383",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"100","District Hospital Kollam","2014-15",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Kalakode CHCArea","2014-15",6,"3,405","2,776","1,986",81.5,58.3,"3,129","1,516",91.9,44.5,"2,756",80.9,"56","0",0,1.5,2,0,2,0,0,0,"0",0,NA,"1,461",42.9,"1,463",99.9,99.9,0.1,"0","829",56.7,NA,56.7,0,NA,NA,100,"1,463","2,836",100,193.8,"1,466",100.2,1,99.9,"1,466",100,"60",4.1
"102","Kulakkada CHCArea","2014-15",6,"2,299","1,982","1,137",86.2,49.5,"2,240","1,378",97.4,59.9,"2,307",100.3,"15","0",0,1.3,4,0,4,0,0,0,"0",0,NA,"327",14.2,"331",98.8,98.8,1.2,"0","177",54.1,NA,54.1,0,NA,NA,100,"331","1,826",100,551.7,"332",100.3,0,100,"329",99.1,"9",2.7
"103","Kulathupuzha CHCArea","2014-15",6,"905","780","538",86.2,59.4,"980","573",108.3,63.3,"902",99.7,"56","0",0,3.8,3,0,3,0,2,66.7,"0",0,NA,"218",24.1,"221",98.6,98.6,1.4,"0","117",53.7,NA,53.7,0,NA,NA,100,"221","837",100,378.7,"221",100,0,100,"220",99.5,"3",1.4
"104","Kundara CHCArea","2014-15",6,"1,589","1,337","931",84.1,58.6,"1,479","827",93.1,52,"1,585",99.7,"24","0",0,1.1,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"9","1,197",900,9700,"1",100,0,100,"1",100,"0",0
"105","Mynagappally CHCArea","2014-15",6,"2,642","2,344","1,576",88.7,59.7,"2,666","2,287",100.9,86.6,"2,598",98.3,"20","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"1,231",46.6,"1,231",100,100,0,"0","635",51.6,NA,51.6,0,NA,NA,100,"1,231","2,857",100,232.1,"1,237",100.5,0,100,"1,237",100,"84",6.8
"106","Nedumoncavu CHCArea","2014-15",6,"2,189","1,817","1,063",83,48.6,"1,982","1,442",90.5,65.9,"2,197",100.4,"104","0",0,1.6,2,0,2,0,0,0,"0",0,NA,"1,123",51.3,"1,125",99.8,99.8,0.2,"0","662",58.9,NA,58.9,0,NA,NA,100,"1,125","2,329",100,207,"1,132",100.6,2,99.8,"1,132",100,"84",7.4
"107","Neendakara CHCArea","2014-15",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Nilamel CHCArea","2014-15",6,"1,509","1,230","1,072",81.5,71,"1,450","485",96.1,32.1,"1,498",99.3,"36","0",0,1,4,0,4,0,0,0,"0",0,NA,"0",0,"4",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"4","1,298",100,2450,"4",100,0,100,"4",100,"2",50
"109","Oachira CHCArea","2014-15",6,"1,446","1,290","731",89.2,50.6,"1,427","2,240",98.7,154.9,"1,320",91.3,"51","0",0,2.4,0,0,0,NA,0,NA,"0",0,NA,"3,073",212.5,"3,073",100,100,0,"0","1,148",37.4,NA,37.4,0,NA,NA,100,"3,073","1,820",100,59.2,"3,092",100.6,4,99.9,"3,092",100,"112",3.6
"110","Palathara CHCArea","2014-15",6,"4,321","3,361","2,278",77.8,52.7,"3,703","2,360",85.7,54.6,"3,993",92.4,"161","0",0,1.1,3,0,3,0,0,0,"0",0,NA,"2,420",56,"2,423",99.9,99.9,0.1,"0","1,572",65,NA,65,0,NA,NA,100,"2,423","5,162",100,213,"2,433",100.4,4,99.8,"2,433",100,"115",4.7
"111","Pathanapuram CHCArea","2014-15",6,"2,180","1,803","1,030",82.7,47.2,"2,123","1,606",97.4,73.7,"2,117",97.1,"86","0",0,1.7,2,1,1,50,0,0,"0",0,NA,"618",28.3,"620",99.7,99.8,0.3,"0","294",47.6,NA,47.6,0,NA,NA,100,"621","1,922",100.2,310,"624",100.6,0,100,"624",100,"5",0.8
"112","Sooranadu CHCArea","2014-15",6,"2,206","1,891","1,202",85.7,54.5,"1,975","1,113",89.5,50.5,"2,057",93.2,"75","0",0,2,0,0,0,NA,0,NA,"0",0,NA,"438",19.9,"438",100,100,0,"0","183",41.8,NA,41.8,0,NA,NA,100,"438","1,935",100,441.8,"438",100,0,100,"438",100,"13",3
"113","THQH Kadakkal","2014-15",6,"69","60","68",87,98.6,"57","448",82.6,649.3,"243",352.2,"274","14",5.1,13,NA,NA,NA,NA,NA,NA,"462",0,0,"462",669.6,"462",100,100,0,"191",NA,41.3,41.3,NA,100,98.9,4.5,0,"462","197",100,42.6,"462",100,0,100,"462",100,"44",9.5
"114","THQH Karunagappally","2014-15",6,"84","54","45",64.3,53.6,"68","557",81,663.1,"79",94,"1","0",0,0,NA,NA,NA,NA,NA,NA,"1,325",0,0,"1,325",1577.4,"1,325",100,100,0,"572",NA,43.2,43.2,NA,100,93.5,11.8,0,"1,325","580",100,43.8,"1,337",100.9,1,99.9,"1,337",100,"142",10.6
"115","THQH Kottarakara","2014-15",6,"50","30","12",60,24,"54","827",108,1654,"579",1158,"6","61",1016.7,0,NA,NA,NA,NA,NA,NA,"1,517",0,0,"1,776",3552,"1,776",100,100,0,"878","228",62.3,57.9,88,85.4,89.5,0,14.6,"1,761","563",99.2,31.7,"1,777",100.1,3,99.8,"1,777",100,"168",9.5
"116","THQH Punalur","2014-15",6,"418","341","202",81.6,48.3,"403","1,908",96.4,456.5,"418",100,"92","10",10.9,13.9,NA,NA,NA,NA,NA,NA,"1,205",0,0,"3,011",720.3,"3,011",100,100,0,"320","999",43.8,26.6,55.3,40,83.6,0,60,"3,011","976",100,32.4,"3,031",100.7,2,99.9,"3,031",100,"165",5.4
"117","THQH Sasthamkottah","2014-15",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Thekkumbhagam CHCArea","2014-15",6,"876","710","386",81.1,44.1,"835","856",95.3,97.7,"865",98.7,"14","0",0,0.5,0,0,0,NA,0,NA,"0",0,NA,"8",0.9,"8",100,100,0,"0","7",87.5,NA,87.5,0,NA,NA,100,"8","768",100,9600,"8",100,0,100,"8",100,"1",12.5
"119","Thrikkadavoor CHCArea","2014-15",6,"2,170","1,859","1,198",85.7,55.2,"2,121","803",97.7,37,"2,254",103.9,"19","0",0,1.2,3,0,3,0,0,0,"0",0,NA,"501",23.1,"504",99.4,99.4,0.6,"0","255",50.9,NA,50.9,0,NA,NA,100,"504","2,092",100,415.1,"503",99.8,1,99.8,"503",100,"30",6
"120","Velinalloor CHCArea","2014-15",6,"1,689","1,526","824",90.3,48.8,"1,718","893",101.7,52.9,"1,677",99.3,"18","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,404",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"121","Women and Children Hospital Victoria Hl Kollam","2014-15",6,"889","751","625",84.5,70.3,"775","2,849",87.2,320.5,"1,322",148.7,"5,369","61",1.1,20.8,NA,NA,NA,NA,NA,NA,"5,610",0,0,"10,259",1154,"10,259",100,100,0,"3,014","3,118",59.8,53.7,67.1,54.7,60.2,0,45.3,"10,259","2,247",100,21.9,"10,352",100.9,27,99.7,"10,352",100,"1,236",11.9
"123","Arunootimangalam CHCArea","2014-15",7,"692","573","382",82.8,55.2,"628","232",90.8,33.5,"649",93.8,"16","0",0,0.6,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","506",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"124","Athirampuzha BPHCArea","2014-15",7,"1,634","1,331","593",81.5,36.3,"1,520","345",93,21.1,"1,293",79.1,"2",NA,0,0,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,191",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"125","Edamaruku CHCArea","2014-15",7,"1,768","1,512","882",85.5,49.9,"1,761","918",99.6,51.9,"1,513",85.6,"0","0",NA,0.2,1,0,1,0,0,0,"0",0,NA,"41",2.3,"42",97.6,97.6,2.4,"0","12",29.3,NA,29.3,0,NA,NA,100,"42","1,650",100,3928.6,"42",100,0,100,"42",100,"0",0
"126","Edayazham CHCArea","2014-15",7,"1,530","1,297","1,215",84.8,79.4,"1,445","602",94.4,39.3,"1,365",89.2,"50","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,162",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"127","Edayirickapuzha CHCArea","2014-15",7,"1,257","1,056","560",84,44.6,"1,157","440",92,35,"1,100",87.5,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"110",8.8,"110",100,100,0,"0","70",63.6,NA,63.6,0,NA,NA,100,"110","1,158",100,1052.7,"110",100,0,100,"110",100,"0",0
