"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"264","Vizhinjam CHC Area","2014-15",12,"1,655","1,267","1,062",76.6,64.2,"1,514","503",91.5,30.4,"1,512",91.4,"11","0",0,0.8,0,0,0,NA,0,NA,"0",0,NA,"20",1.2,"20",100,100,0,"0","1",5,NA,5,0,NA,NA,100,"20","1,455",100,7275,"20",100,0,100,"20",100,"0",0
"265","Women and Children s Hospital Thycadu","2014-15",12,"75","35","75",46.7,100,"47","3,763",62.7,5017.3,"2,233",2977.3,"5,622","26",0.5,540,NA,NA,NA,NA,NA,NA,"6,599",0,0,"8,494",1325.3,"8,494",100,100,0,"2,196","1,035",38,33.3,54.6,77.7,36,0,22.3,"8,494","7,039",100,82.9,"8,531",100.4,20,99.8,"8,531",100,"921",10.8
"267","Alapad CHCArea","2014-15",13,"1,459","1,195","581",81.9,39.8,"1,336","494",91.6,33.9,"1,590",109,"5","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"49",3.4,"49",100,100,0,"0","32",65.3,NA,65.3,0,NA,NA,100,"49","903",100,1842.9,"49",100,0,100,"49",100,"4",8.2
"268","Aloor BPHCArea","2014-15",13,"1,556","1,287","688",82.7,44.2,"1,524","645",97.9,41.5,"1,526",98.1,"11","0",0,0,1,0,1,0,0,0,"0",0,NA,"830",53.3,"831",99.9,99.9,0.1,"0","164",19.8,NA,19.8,0,NA,NA,100,"759","1,905",91.3,229.2,"826",99.4,6,99.3,"826",100,"51",6.2
"269","Anandapuram CHCArea","2014-15",13,"1,583","1,237","629",78.1,39.7,"1,559","1,448",98.5,91.5,"1,130",71.4,"23","0",0,0.8,0,0,0,NA,0,NA,"0",0,NA,"1,770",111.8,"1,770",100,100,0,"0","889",50.2,NA,50.2,0,NA,NA,100,"1,770","1,427",100,80.6,"1,781",100.6,1,99.9,"1,781",100,"151",8.5
"270","Chelakkara CHCArea","2014-15",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Cherpu CHCArea","2014-15",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Elinjipra CHCArea","2014-15",13,"1,237","1,049","424",84.8,34.3,"1,212","383",98,31,"1,192",96.4,"1","0",0,0,2,0,2,0,0,0,"0",0,NA,"0",0,"2",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1,089",100,4450,"2",100,0,100,"2",100,"1",50
"273","Erumapetty CHCArea","2014-15",13,"3,484","2,815","1,391",80.8,39.9,"3,196","3,169",91.7,91,"3,054",87.7,"4","0",0,0,1,0,1,0,0,0,"0",0,NA,"214",6.1,"215",99.5,99.5,0.5,"0","77",36,NA,36,0,NA,NA,100,"215","2,727",100,1268.4,"216",100.5,0,100,"216",100,"10",4.6
"274","GH Irinjalakuda","2014-15",13,"424","206","29",48.6,6.8,"238","345",56.1,81.4,"132",31.1,"5","1",20,0,NA,NA,NA,NA,NA,NA,"489",0,0,"602",142,"602",100,100,0,"292","78",61.5,59.7,69,81.2,72.2,0,18.8,"602","339",100,56.3,"605",100.5,0,100,"604",99.8,"106",17.5
"275","GH THRISSUR","2014-15",13,"362","187","48",51.7,13.3,"424","2,567",117.1,709.1,"430",118.8,"874","1",0.1,53.6,NA,NA,NA,NA,NA,NA,"2,892",0,0,"8,935",2468.2,"8,935",100,100,0,"979","2,349",37.2,33.9,38.9,32.4,50.4,0,67.6,"8,935","8,935",100,100,"9,007",100.8,48,99.5,"9,007",100,"1,145",12.7
"276","Kadappuram CHCArea","2014-15",13,"1,500","1,156","617",77.1,41.1,"1,555","1,330",103.7,88.7,"1,426",95.1,"0","0",NA,0.6,1,0,1,0,0,0,"0",0,NA,"7",0.5,"8",87.5,87.5,12.5,"0","5",71.4,NA,71.4,0,NA,NA,100,"8","1,365",100,7062.5,"8",100,0,100,"8",100,"0",0
"277","Madavana CHCArea","2014-15",13,"1,542","1,344","542",87.2,35.1,"1,470","743",95.3,48.2,"1,341",87,"4","0",0,0,1,0,1,0,0,0,"0",0,NA,"479",31.1,"480",99.8,99.8,0.2,"0","268",55.9,NA,55.9,0,NA,NA,100,"480","1,452",100,302.5,"485",101,1,99.8,"485",100,"13",2.7
"278","Mambra BPHCArea","2014-15",13,"1,122","943","366",84,32.6,"1,088","314",97,28,"1,095",97.6,"0",NA,NA,0,0,0,0,NA,0,NA,"0",0,NA,"73",6.5,"73",100,100,0,"0","62",84.9,NA,84.9,0,NA,NA,100,"145","973",198.6,1332.9,"75",102.7,1,98.7,"75",100,"1",1.3
"279","Mattathur CHCArea","2014-15",13,"2,914","2,606","982",89.4,33.7,"2,776","1,572",95.3,53.9,"2,456",84.3,"377","17",4.5,1.3,1,0,1,0,0,0,"0",0,NA,"740",25.4,"741",99.9,99.9,0.1,"0","492",66.5,NA,66.5,0,NA,NA,100,"741","2,478",100,334.4,"745",100.5,4,99.5,"745",100,"72",9.7
"280","Mullasserry CHCArea","2014-15",13,"1,465","1,235","531",84.3,36.2,"1,526","792",104.2,54.1,"1,315",89.8,"8","1",12.5,0.5,1,0,1,0,0,0,"0",0,NA,"67",4.6,"68",98.5,98.5,1.5,"0","51",76.1,NA,76.1,0,NA,NA,100,"67","1,445",98.5,2125,"69",101.5,0,100,"69",100,"5",7.2
"281","Ollur CHCArea","2014-15",13,"2,632","2,030","743",77.1,28.2,"2,636","1,488",100.2,56.5,"1,643",62.4,"5","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"1,722",65.4,"1,722",100,100,0,"0","667",38.7,NA,38.7,0,NA,NA,100,"1,722","4,047",100,235,"1,732",100.6,9,99.5,"1,732",100,"152",8.8
"282","Pamboor BPHCArea","2014-15",13,"896","648","413",72.3,46.1,"799","430",89.2,48,"874",97.5,"2",NA,0,0,1,0,1,0,0,0,"2,234",0,0,"2,234",249.3,"2,235",100,100,0,"985",NA,44.1,44.1,NA,100,4.3,0,0,"2,235","818",100,36.6,"2,235",100,0,100,"2,235",100,"142",6.4
"283","Pazhanji CHCArea","2014-15",13,"2,687","2,226","937",82.8,34.9,"2,406","2,192",89.5,81.6,"2,293",85.3,"4","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"5,847",217.6,"5,847",100,100,0,"0","2,216",37.9,NA,37.9,0,NA,NA,100,"5,847","2,428",100,41.5,"5,844",99.9,3,99.9,"5,844",100,"206",3.5
"284","Perinjanam CHCArea","2014-15",13,"2,458","2,149","938",87.4,38.2,"2,462","961",100.2,39.1,"1,639",66.7,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"357",14.5,"357",100,100,0,"0","143",40.1,NA,40.1,0,NA,NA,100,"357","2,217",100,621,"361",101.1,0,100,"361",100,"22",6.1
"285","Puthenchira CHCArea","2014-15",13,"701","643","258",91.7,36.8,"679","236",96.9,33.7,"644",91.9,"3","0",0,0.4,0,0,0,NA,0,NA,"0",0,NA,"401",57.2,"401",100,100,0,"0","285",71.1,NA,71.1,0,NA,NA,100,"401","817",100,203.7,"408",101.7,0,100,"408",100,"46",11.3
"286","TH Kunnamkulam","2014-15",13,"133","110","54",82.7,40.6,"260","1,073",195.5,806.8,"997",749.6,"155","26",16.8,27.8,NA,NA,NA,NA,NA,NA,"174",0,0,"1,169",878.9,"1,169",100,100,0,"79","739",70,45.4,74.3,14.9,52.9,0,85.1,"1,169","5,095",100,435.8,"1,172",100.3,5,99.6,"1,172",100,"126",10.8
"287","THQH Chalakudy","2014-15",13,"322","147","110",45.7,34.2,"214","1,621",66.5,503.4,"1,559",484.2,"0","0",NA,7.8,NA,NA,NA,NA,NA,NA,"286",0,0,"3,342",1037.9,"3,342",100,100,0,"152","1,738",56.6,53.1,56.9,8.6,83.2,3.8,91.4,"3,342","2,663",100,79.7,"3,348",100.2,4,99.9,"3,345",99.9,"399",11.9
"288","THQH Chavakkad","2014-15",13,"653","334","534",51.1,81.8,"552","337",84.5,51.6,"538",82.4,"751","24",3.2,0,NA,NA,NA,NA,NA,NA,"631",0,0,"1,423",217.9,"1,423",100,100,0,"335","415",52.7,53.1,52.4,44.3,59,7.4,55.7,"1,423","959",100,67.4,"1,427",100.3,2,99.9,"1,427",100,"176",12.3
"289","THQH Kodungallur","2014-15",13,"189","108","171",57.1,90.5,"183","2,150",96.8,1137.6,"541",286.2,"593","64",10.8,51.3,NA,NA,NA,NA,NA,NA,"1,221",0,0,"5,116",2706.9,"5,116",100,100,0,"615","1,951",50.2,50.4,50.1,23.9,89,10.6,76.1,"5,116","2,494",100,48.7,"5,145",100.6,8,99.8,"5,145",100,"359",7
"290","THQH Wadakanchery","2014-15",13,"151","91","151",60.3,100,"162","135",107.3,89.4,"146",96.7,"221","0",0,0,NA,NA,NA,NA,NA,NA,"518",0,0,"971",643,"971",100,100,0,"195","198",40.5,37.6,43.7,53.3,58.7,0,46.7,"971","394",100,40.6,"976",100.5,0,100,"976",100,"71",7.3
"291","Thiruvilwamala CHCArea","2014-15",13,"2,571","2,047","1,356",79.6,52.7,"2,396","1,384",93.2,53.8,"2,235",86.9,"371","0",0,2.7,4,0,4,0,0,0,"0",0,NA,"640",24.9,"644",99.4,99.4,0.6,"0","267",41.7,NA,41.7,0,NA,NA,100,"644","3,016",100,468.3,"648",100.6,2,99.7,"648",100,"43",6.6
"292","Tholur CHCArea","2014-15",13,"1,986","1,576","557",79.4,28,"1,682","1,307",84.7,65.8,"1,718",86.5,"10","0",0,0,0,0,0,NA,0,NA,"0",1,NA,"4,898",246.6,"4,898",100,100,0,"0","1,387",28.3,NA,28.3,0,NA,NA,100,"4,898","4,064",100,83,"4,927",100.6,0,100,"4,927",100,"227",4.6
"293","Vadakkekad CHCArea","2014-15",13,"1,498","861","592",57.5,39.5,"1,289","267",86,17.8,"1,380",92.1,"0","0",NA,0,1,0,1,0,0,0,"0",0,NA,"219",14.6,"220",99.5,99.5,0.5,"0","76",34.7,NA,34.7,0,NA,NA,100,"220","367",100,166.8,"222",100.9,0,100,"222",100,"38",17.1
"294","Vatanapilly CHCArea","2014-15",13,"1,829","1,309","822",71.6,44.9,"1,514","2,000",82.8,109.3,"3,871",211.6,"142","3",2.1,0.2,1,0,1,0,0,0,"0",0,NA,"731",40,"732",99.9,99.9,0.1,"0","302",41.3,NA,41.3,0,NA,NA,100,"732","1,903",100,260,"739",101,0,100,"739",100,"58",7.8
"295","Vellangallur CHCArea","2014-15",13,"994","783","431",78.8,43.4,"993","484",99.9,48.7,"1,006",101.2,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"392",39.4,"392",100,100,0,"0","196",50,NA,50,0,NA,NA,100,"392","943",100,240.6,"395",100.8,0,100,"395",100,"14",3.5
"296","Vellanikkara CHCArea","2014-15",13,"2,055","1,511","763",73.5,37.1,"1,563","867",76.1,42.2,"857",41.7,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,667",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"297","Vilvattom BPHCArea","2014-15",13,"657","450","279",68.5,42.5,"662","547",100.8,83.3,"441",67.1,"24","5",20.8,1.1,0,0,0,NA,0,NA,"0",0,NA,"1,603",244,"1,603",100,100,0,"0","640",39.9,NA,39.9,0,NA,NA,100,"1,603","1,472",100,91.8,"1,609",100.4,1,99.9,"1,609",100,"57",3.5
"299","CHC MEENANGADY","2014-15",14,"3,281","2,797","2,228",85.2,67.9,"3,197","1,618",97.4,49.3,"3,090",94.2,"940","10",1.1,4.5,30,4,26,13.3,1,3.3,"1,385",0,0,"2,343",71.4,"2,373",98.7,98.9,1.3,"449","329",33.2,32.4,34.3,59.1,94.5,1.2,40.9,"2,377","4,037",100.2,170.1,"2,381",100.3,12,99.5,"2,380",100,"362",15.2
"300","CHC MEPPADY","2014-15",14,"1,915","1,705","1,400",89,73.1,"1,781","2,682",93,140.1,"1,997",104.3,"480","33",6.9,19.7,13,0,13,0,0,0,"284",0,0,"3,922",204.8,"3,935",99.7,99.7,0.3,"58","895",24.3,20.4,24.6,7.2,93,13.4,92.8,"4,225","2,508",107.4,63.7,"4,450",113.1,17,99.6,"4,446",99.9,"478",10.8
"301","CHC PORUNNANORE","2014-15",14,"4,522","3,640","3,473",80.5,76.8,"4,488","2,476",99.2,54.8,"4,656",103,"1,663","2",0.1,1.6,101,3,98,3,3,3,"0",0,NA,"0",0,"101",0,3,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"100","2,237",99,2214.9,"99",98,5,95.2,"98",99,"47",48
"302","CHC PULPALLY","2014-15",14,"2,783","2,349","1,731",84.4,62.2,"2,761","1,046",99.2,37.6,"2,503",89.9,"953","2",0.2,1.9,79,6,73,7.6,3,3.8,"5",0,0,"28",1,"107",26.2,31.8,73.8,"0","6",21.4,0,26.1,17.9,3100,440,82.1,"118","1,556",110.3,1454.2,"102",95.3,5,95.3,"101",99,"25",24.8
"303","CHC THARIYODE","2014-15",14,"1,625","1,485","1,141",91.4,70.2,"1,576","844",97,51.9,"1,649",101.5,"518","0",0,0.6,17,2,15,11.8,0,0,"0",0,NA,"0",0,"17",0,11.8,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"34","926",200,5447.1,"17",100,0,100,"17",100,"6",35.3
"304","MANANTHAVADY","2014-15",14,"112","89","90",79.5,80.4,"119","827",106.3,738.4,"130",116.1,"922","118",12.8,25.9,0,0,0,NA,0,NA,"1,849",0,0,"2,536",2264.3,"2,536",100,100,0,"357","197",21.8,19.3,28.7,72.9,73.5,0,27.1,"2,413","751",95.1,29.6,"2,530",99.8,12,99.5,"2,524",99.8,"584",23.1
"305","SULTHAN BATHERY","2014-15",14,"55","46","8",83.6,14.5,"56","2,018",101.8,3669.1,"51",92.7,"347","10",2.9,40,0,0,0,NA,0,NA,"801",0,0,"3,158",5741.8,"3,158",100,100,0,"227","993",38.6,28.3,42.1,25.4,20.5,0,74.6,"3,156","979",99.9,31,"3,183",100.8,11,99.7,"3,182",100,"516",16.2
"306","THQH VYTHIRI","2014-15",14,"50","48","41",96,82,"48","466",96,932,"154",308,"168","9",5.4,56,0,0,0,NA,0,NA,"623",0,0,"1,144",2288,"1,144",100,100,0,"142","139",24.6,22.8,26.7,54.5,20.2,0,45.5,"1,149","298",100.4,26,"1,145",100.1,3,99.7,"1,145",100,"123",10.7
"23","Ambalapuzha BPHCArea","2015-16",1,"1727","1538","1724",89.1,99.8,"1643","1113",95.1,64.4,"1320",76.4,"71",NA,0,2.4,1,1,0,100,0,0,"0",0,NA,"101",5.8,"102",99,100,1,"0","49",48.5,NA,48.5,0,NA,NA,100,"70","1603",68.6,1571.6,"102",100,0,100,"98",96.1,"7",7.1
"310","Arookutty CHCArea","2015-16",1,"1374","1216","1042",88.5,75.8,"1265","494",92.1,36,"122",8.9,"31","0",0,0.3,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1169",0,6900,"1",100,0,100,"1",100,"1",100
"410","Chempumpuram CHCArea","2015-16",1,"1239","1028","1018",83,82.2,"1256","656",101.4,52.9,"1108",89.4,"14","0",0,1,4,1,3,25,0,0,"0",0,NA,"117",9.4,"121",96.7,97.5,3.3,"0","50",42.7,NA,42.7,0,NA,NA,100,"119","1213",98.3,1002.5,"122",100.8,0,100,"122",100,"18",14.8
"53","Chettikkad CHCArea","2015-16",1,"1629","1505","1628",92.4,99.9,"1584","856",97.2,52.5,"1131",69.4,"8","0",0,0,2,0,2,0,0,0,"0",0,NA,"0",0,"2",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1451",50,2550,"3",150,0,100,"3",100,"1",33.3
"66","Chunakara CHCArea","2015-16",1,"1992","1708","883",85.7,44.3,"2043","1470",102.6,73.8,"2164",108.6,"13","0",0,0.6,1,1,0,100,0,0,"0",0,NA,"776",39,"777",99.9,100,0.1,"0","491",63.3,NA,63.3,0,NA,NA,100,"721","1990",92.8,256.1,"783",100.8,2,99.7,"783",100,"8",1
"710","Kurathikad CHC Area","2015-16",1,"1381","1071","750",77.6,54.3,"1345","426",97.4,30.8,"368",26.6,"3","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1293",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"87","Medical College Hospital Alappuzha","2015-16",1,"549","376","499",68.5,90.9,"471","293",85.8,53.4,"3780",688.5,"66","0",0,13.3,0,0,0,NA,0,NA,"0",0,NA,"339",61.7,"339",100,100,0,"0","191",56.3,NA,56.3,0,NA,NA,100,"273","276",80.5,81.4,"340",100.3,1,99.7,"340",100,"28",8.2
"97","Muhama CHC Area","2015-16",1,"1870","1677","1220",89.7,65.2,"1674","1789",89.5,95.7,"1369",73.2,"102","1",1,0.9,0,0,0,NA,0,NA,"0",0,NA,"2035",108.8,"2035",100,100,0,"0","1275",62.7,NA,62.7,0,NA,NA,100,"1694","2509",83.2,123.3,"2067",101.6,1,100,"2067",100,"374",18.1
"1010","Muthukulam CHC Area","2015-16",1,"2018","1714","1004",84.9,49.8,"1861","811",92.2,40.2,"214",10.6,"11","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1801",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"1110","PP Unit Alappuzha","2015-16",1,"0","0","0",NA,NA,"0","0",NA,NA,"0",NA,"2","16",800,NA,NA,NA,NA,NA,NA,NA,"4456",0,0,"4456",NA,"4456",100,100,0,"1619",NA,36.3,36.3,NA,100,49.8,0,0,"4165","1830",93.5,41.1,"4526",101.6,1,100,"4526",100,"886",19.6
"122","Pandanad CHC Area","2015-16",1,"1792","1416","949",79,53,"1707","1454",95.3,81.1,"446",24.9,"2","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"621",34.7,"621",100,100,0,"0","400",64.4,NA,64.4,0,NA,NA,100,"483","2017",77.8,324.8,"622",100.2,0,100,"622",100,"69",11.1
"1310","THQH Chenganoor","2015-16",1,"189","136","142",72,75.1,"195","301",103.2,159.3,"636",336.5,"41","0",0,11.6,NA,NA,NA,NA,NA,NA,"364",0,0,"574",303.7,"574",100,100,0,"172","142",54.7,47.3,67.6,63.4,57.1,0,36.6,"477","256",83.1,44.6,"578",100.7,1,99.8,"578",100,"70",12.1
"149","THQH Cherthala","2015-16",1,"408","352","165",86.3,40.4,"529","997",129.7,244.4,"54",13.2,"253","0",0,0.7,NA,NA,NA,NA,NA,NA,"1053",0,0,"2235",547.8,"2235",100,100,0,"536","671",54,50.9,56.8,47.1,43.2,0,52.9,"499","553",22.3,24.7,"2245",100.4,3,99.9,"2245",100,"150",6.7
"1510","THQH Haripad","2015-16",1,"31","19","18",61.3,58.1,"34","93",109.7,300,"32",103.2,"59","0",0,35.5,NA,NA,NA,NA,NA,NA,"913",0,0,"913",2945.2,"913",100,100,0,"679",NA,74.4,74.4,NA,100,0.1,2.2,0,"913","679",100,74.4,"914",100.1,0,100,"914",100,"62",6.8
"1610","THQH Kayamkulam","2015-16",1,"714","484","454",67.8,63.6,"654","2208",91.6,309.2,"2446",342.6,"4","1",25,0.3,0,0,0,NA,0,NA,"472",0,0,"3057",428.2,"3057",100,100,0,"296","1008",42.7,62.7,39,15.4,50.4,3.6,84.6,"3254","1888",106.4,61.8,"3294",107.8,0,100,"3293",100,"420",12.8
"1710","THQH Mavelikkara","2015-16",1,"291","199","93",68.4,32,"273","919",93.8,315.8,"126",43.3,"88","0",0,72.5,NA,NA,NA,NA,NA,NA,"410",0,0,"1197",411.3,"1197",100,100,0,"268","533",66.9,65.4,67.7,34.3,21,0.2,65.7,"1075","993",89.8,83,"1210",101.1,1,99.9,"1210",100,"103",8.5
"1810","THQH Pulinkunnu","2015-16",1,"48","37","41",77.1,85.4,"44","44",91.7,91.7,"57",118.8,"3","0",0,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","33",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"193","Thrikkunnapuzha CHC Area","2015-16",1,"1917","1653","1383",86.2,72.1,"1809","2368",94.4,123.5,"1440",75.1,"339","5",1.5,5.4,0,0,0,NA,0,NA,"0",4,NA,"333",17.4,"333",100,100,0,"0","234",70.3,NA,70.3,0,NA,NA,100,"353","1793",106,538.4,"335",100.6,1,99.7,"335",100,"11",3.3
"2010","Thuravoor CHC Area","2015-16",1,"2378","2097","1604",88.2,67.5,"2194","1080",92.3,45.4,"2006",84.4,"27","0",0,0.5,0,0,0,NA,0,NA,"0",0,NA,"1",0,"1",100,100,0,"0",NA,0,NA,0,0,NA,NA,100,"0","2002",0,200,"1",100,0,100,"1",100,"0",0
"217","Veliyanad CHC Area","2015-16",1,"952","821","611",86.2,64.2,"929","573",97.6,60.2,"910",95.6,"5","0",0,1.1,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","926",0,2600,"1",100,0,100,"1",100,"0",0
"2210","W and C Hospital Alappuzha","2015-16",1,"1311","974","1258",74.3,96,"1680","959",128.1,73.2,"871",66.4,"1705","30",1.8,22,0,0,0,NA,0,NA,"1802",0,0,"1802",137.5,"1802",100,100,0,"962",NA,53.4,53.4,NA,100,69.8,0.2,0,"1813","2898",100.6,160.8,"1803",100.1,0,100,"1803",100,"110",6.1
"2410","Ankamaly BPHCArea","2015-16",2,"1,543","1,287","375",83.4,24.3,"1,277","1,088",82.8,70.5,"765",49.6,"3","0",0,0.3,1,1,0,100,0,0,"0",0,NA,"1,930",125.1,"1,931",99.9,100,0.1,"0","1,271",65.9,NA,65.9,0,NA,NA,100,"1,931","1,267",100,65.6,"1,936",100.3,0,100,"1,936",100,"133",6.9
"2510","Chengamanad CHCArea","2015-16",2,"1,841","1,545","511",83.9,27.8,"1,583","774",86,42,"1,604",87.1,"166","0",0,1.4,0,0,0,NA,0,NA,"0",0,NA,"350",19,"350",100,100,0,"0","213",60.9,NA,60.9,0,NA,NA,100,"350","1,990",100,568.6,"355",101.4,1,99.7,"355",100,"58",16.3
"266","Cheranalloor BPHCArea","2015-16",2,"1,864","1,102","238",59.1,12.8,"1,681","868",90.2,46.6,"1,418",76.1,"4","0",0,0.2,1,0,1,0,0,0,"0",0,NA,"1,276",68.5,"1,277",99.9,99.9,0.1,"0","795",62.3,NA,62.3,0,NA,NA,100,"1,277","2,894",100,226.6,"1,342",105.1,22,98.4,"1,342",100,"278",20.7
"2710","Ezhikkara CHCArea","2015-16",2,"1,763","1,521","493",86.3,28,"1,583","1,064",89.8,60.4,"1,394",79.1,"5","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1,593",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2810","GH Ernakulam","2015-16",2,"2,960","1,714","184",57.9,6.2,"2,635","5,838",89,197.2,"3,306",111.7,"976","49",5,3.1,0,0,0,NA,1,NA,"2,403",0,0,"7,636",258,"7,636",100,100,0,"1,169","2,884",53.1,48.6,55.1,31.5,35.5,0,68.5,"7,636","7,741",100,101.4,"7,663",100.4,27,99.6,"7,663",100,"888",11.6
