"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"2371","CHC Nemom","2015-16",12,"238","166","238",69.7,100,"200","220",84,92.4,"220",92.4,"0","0",NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","68",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2381","CHC Palode","2015-16",12,"20","19","20",95,100,"22","51",110,255,"19",95,"0","0",NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","9",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2391","CHC Varkala","2015-16",12,"972","662","540",68.1,55.6,"802","1,766",82.5,181.7,"794",81.7,"137","31",22.6,5.1,NA,NA,NA,NA,NA,NA,"0",0,NA,"313",32.2,"313",100,100,0,"0","146",46.6,NA,46.6,0,NA,NA,100,"1,153","1,056",368.4,337.4,"1,153",368.4,0,100,"1,153",100,"105",9.1
"2401","District Model Hospital Peroorkada","2015-16",12,"121","16","10",13.2,8.3,"60","945",49.6,781,"57",47.1,"123","2",1.6,77.7,NA,NA,NA,NA,NA,NA,"712",0,0,"1,807",1493.4,"1,807",100,100,0,"272","798",59.2,38.2,72.9,39.4,77.1,0,60.6,"1,699","177",94,9.8,"1,815",100.4,1,99.9,"1,815",100,"106",5.8
"2411","General Hospital Thiruvananthapuram","2015-16",12,"1,528","758","676",49.6,44.2,"1,464","213",95.8,13.9,"495",32.4,"46","0",0,0.5,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"30","375",3000,7500,"1",100,0,100,"1",100,"1",100
"2421","Kallara CHCArea","2015-16",12,"1,038","945","972",91,93.6,"1,025","444",98.7,42.8,"1,053",101.4,"28","0",0,0.8,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","941",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2431","Kanyakulangara CHCArea","2015-16",12,"2,155","1,736","1,898",80.6,88.1,"1,964","841",91.1,39,"1,444",67,"15","0",0,1.1,0,0,0,NA,0,NA,"199",2,1,"199",9.2,"199",100,100,0,"38","0",19.1,19.1,NA,100,42.2,0,0,"185","1,816",93,912.6,"181",91,0,100,"181",100,"15",8.3
"2441","Kesavapuram CHC Area","2015-16",12,"3,020","2,746","2,994",90.9,99.1,"2,722","1,109",90.1,36.7,"2,303",76.3,"10","0",0,0.2,2,1,1,50,0,0,"1",1,100,"128",4.2,"130",98.5,99.2,1.5,"0","37",28.9,0,29.1,0.8,0,0,99.2,"118","2,669",90.8,2053.1,"129",99.2,1,99.2,"129",100,"0",0
"2451","MCH Unit Pangappara","2015-16",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2461","Manamboor CHC Area","2015-16",12,"3,617","2,687","2,103",74.3,58.1,"3,090","1,066",85.4,29.5,"4,383",121.2,"184","3",1.6,2.6,4,0,4,0,0,0,"0",0,NA,"652",18,"656",99.4,99.4,0.6,"0","378",58,NA,58,0,NA,NA,100,"653","3,532",99.5,538.4,"690",105.2,0,100,"689",99.9,"131",19
"2471","Perumkadavilla CHC Area","2015-16",12,"1,592","1,448","1,416",91,88.9,"1,422","545",89.3,34.2,"1,042",65.5,"16","0",0,1.6,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1,382",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2481","Poonthura CHC Area","2015-16",12,"1,457","1,085","1,251",74.5,85.9,"1,513","398",103.8,27.3,"912",62.6,"59","0",0,1.9,0,0,0,NA,0,NA,"0",0,NA,"2,276",156.2,"2,276",100,100,0,"0","1,075",47.2,NA,47.2,0,NA,NA,100,"2,282","1,528",100.3,67.1,"2,310",101.5,0,100,"2,310",100,"258",11.2
"2491","Poovar CHC Area","2015-16",12,"2,445","2,208","2,243",90.3,91.7,"2,217","1,039",90.7,42.5,"512",20.9,"19","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"29",1.2,"29",100,100,0,"0","0",0,NA,0,0,NA,NA,100,"29","2,162",100,7455.2,"29",100,0,100,"29",100,"2",6.9
"2501","Pulluvilla CHC Area","2015-16",12,"731","643","731",88,100,"773","329",105.7,45,"579",79.2,"58","0",0,1.5,1,1,0,100,1,100,"0",0,NA,"17",2.3,"18",94.4,100,5.6,"0","14",82.4,NA,82.4,0,NA,NA,100,"18","662",100,3677.8,"18",100,0,100,"18",100,"0",0
"2511","Puthenthope CHC Area","2015-16",12,"2,893","2,331","1,201",80.6,41.5,"2,749","975",95,33.7,"2,562",88.6,"32","0",0,0.4,2,1,1,50,0,0,"0",0,NA,"506",17.5,"508",99.6,99.8,0.4,"0","174",34.4,NA,34.4,0,NA,NA,100,"452","2,802",89,551.6,"508",100,0,100,"508",100,"46",9.1
"2521","SAT Hospital Thiruvananthapuram","2015-16",12,"101","53","95",52.5,94.1,"83","4,531",82.2,4486.1,"0",0,"3,516","166",4.7,795,NA,NA,NA,NA,NA,NA,"9,091",0,0,"13,817",3680.2,"13,817",100,100,0,"3,768","2,584",46,41.4,54.7,65.8,40.1,0,34.2,"13,426","5,604",97.2,40.6,"13,887",100.5,249,98.2,"13,887",100,"4,054",29.2
"2531","Taluk Hospital Chirayinkeezhu","2015-16",12,"61","57","59",93.4,96.7,"63","1,055",103.3,1729.5,"901",1477,"0","0",NA,104.9,NA,NA,NA,NA,NA,NA,"2,120",49,2.3,"2,288",3750.8,"2,288",100,100,0,"689","51",32.3,32.5,30.4,92.7,87.2,0,7.3,"2,288","2,234",100,97.6,"2,294",100.3,0,100,"2,294",100,"358",15.6
"2541","Taluk Hospital Nedumangadu","2015-16",12,"415","258","415",62.2,100,"262","1,469",63.1,354,"863",208,"718","0",0,11.1,NA,NA,NA,NA,NA,NA,"1,737",0,0,"2,148",517.6,"2,148",100,100,0,"685","170",39.8,39.4,41.4,80.9,74.7,0,19.1,"2,109","1,987",98.2,92.5,"2,148",100,2,99.9,"2,148",100,"121",5.6
"2551","Taluk Hospital Neyyattinkara","2015-16",12,"182","132","160",72.5,87.9,"157","1,551",86.3,852.2,"345",189.6,"0","0",NA,0,NA,NA,NA,NA,NA,NA,"1,386",0,0,"1,900",1044,"1,900",100,100,0,"592","297",46.8,42.7,57.8,72.9,81.2,0,27.1,"1,806","433",95.1,22.8,"1,906",100.3,0,100,"1,906",100,"271",14.2
"2561","Taluk Hospital Parassala","2015-16",12,"265","145","166",54.7,62.6,"204","227",77,85.7,"161",60.8,"935","30",3.2,0.4,NA,NA,NA,NA,NA,NA,"955",0,0,"1,012",381.9,"1,012",100,100,0,"396","44",43.5,41.5,77.2,94.4,78.7,0,5.6,"1,010","989",99.8,97.7,"1,015",100.3,0,100,"1,013",99.8,"105",10.4
"2571","Vakkom CHC Area","2015-16",12,"1,058","950","648",89.8,61.2,"1,025","159",96.9,15,"797",75.3,"12","0",0,1,0,0,0,NA,0,NA,"0",0,NA,"320",30.2,"320",100,100,0,"0","183",57.2,NA,57.2,0,NA,NA,100,"273","1,078",85.3,336.9,"320",100,1,99.7,"320",100,"0",0
"2581","Vamanapuram BPHC Area","2015-16",12,"1,342","1,202","1,250",89.6,93.1,"1,391","1,141",103.7,85,"1,345",100.2,"30","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"1,518",113.1,"1,518",100,100,0,"0","584",38.5,NA,38.5,0,NA,NA,100,"1,387","1,320",91.4,87,"1,517",99.9,3,99.8,"1,517",100,"203",13.4
"2591","Vellanad CHC Area","2015-16",12,"3,018","2,002","1,510",66.3,50,"2,442","1,371",80.9,45.4,"1,851",61.3,"151","0",0,0,5,1,4,20,0,0,"0",0,NA,"341",11.3,"346",98.6,98.8,1.4,"0","200",58.7,NA,58.7,0,NA,NA,100,"342","1,803",98.8,521.1,"345",99.7,1,99.7,"345",100,"35",10.1
"2601","Vellarada CHC Area","2015-16",12,"1,295","1,118","1,029",86.3,79.5,"1,170","1,019",90.3,78.7,"2,330",179.9,"233","19",8.2,5.6,3,2,1,66.7,0,0,"2",1,50,"1,063",82.1,"1,066",99.7,99.9,0.3,"0","421",39.6,0,39.7,0.2,0,0,99.8,"1,065","1,493",99.9,140.1,"1,064",99.8,2,99.8,"1,064",100,"0",0
"2611","Venpakal CHC Area","2015-16",12,"754","644","741",85.4,98.3,"631","249",83.7,33,"623",82.6,"21","0",0,0.4,0,0,0,NA,0,NA,"0",0,NA,"86",11.4,"86",100,100,0,"0","28",32.6,NA,32.6,0,NA,NA,100,"86","719",100,836,"86",100,0,100,"86",100,"1",1.2
"2621","Vilappil CHC Area","2015-16",12,"3,780","3,322","2,691",87.9,71.2,"3,186","1,984",84.3,52.5,"2,500",66.1,"59","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","3,467",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2631","Vithura CHC Area","2015-16",12,"1,334","1,146","1,123",85.9,84.2,"1,280","683",96,51.2,"1,191",89.3,"13","0",0,0.1,2,0,2,0,0,0,"2",2,100,"2",0.1,"4",50,50,50,"0","0",0,0,NA,100,0,0,0,"22","1,141",550,8525,"4",100,0,100,"4",100,"1",25
"2641","Vizhinjam CHC Area","2015-16",12,"1,524","1,237","1,206",81.2,79.1,"1,424","464",93.4,30.4,"1,433",94,"19","0",0,0.9,0,0,0,NA,0,NA,"0",0,NA,"10",0.7,"10",100,100,0,"0","4",40,NA,40,0,NA,NA,100,"9","1,433",90,4330,"10",100,0,100,"10",100,"1",10
"2651","Women and Children s Hospital Thycadu","2015-16",12,"72","46","70",63.9,97.2,"55","3,961",76.4,5501.4,"2,402",3336.1,"4,006","29",0.7,129.2,NA,NA,NA,NA,NA,NA,"6,413",0,0,"8,081",1223.6,"8,081",100,100,0,"2,065","889",36.6,32.2,53.3,79.4,29.5,0,20.6,"7,355","3,974",91,49.2,"8,139",100.7,21,99.7,"8,139",100,"955",11.7
"2671","Alapad CHCArea","2015-16",13,"1,411","1,177","533",83.4,37.8,"1,314","452",93.1,32,"1,026",72.7,"7","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"2",0.1,"2",100,100,0,"0","1",50,NA,50,0,NA,NA,100,"2","1,055",100,2750,"2",100,0,100,"2",100,"0",0
"2681","Aloor BPHCArea","2015-16",13,"1,498","1,272","641",84.9,42.8,"1,422","757",94.9,50.5,"692",46.2,"7","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"983",65.6,"983",100,100,0,"0","211",21.5,NA,21.5,0,NA,NA,100,"983","2,271",100,231,"978",99.5,6,99.4,"978",100,"90",9.2
"2691","Anandapuram CHCArea","2015-16",13,"1,599","1,319","640",82.5,40,"1,533","1,432",95.9,89.6,"389",24.3,"30","0",0,0.3,0,0,0,NA,0,NA,"0",0,NA,"1,746",109.2,"1,746",100,100,0,"0","912",52.2,NA,52.2,0,NA,NA,100,"1,746","1,420",100,81.3,"1,752",100.3,3,99.8,"1,752",100,"159",9.1
"2701","Chelakkara CHCArea","2015-16",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2711","Cherpu CHCArea","2015-16",13,"0","0","0",NA,NA,"0","14",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2721","Elinjipra CHCArea","2015-16",13,"1,234","1,004","417",81.4,33.8,"1,170","397",94.8,32.2,"614",49.8,"0","0",NA,0,9,0,9,0,0,0,"0",0,NA,"0",0,"9",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"9","1,056",100,1733.3,"9",100,0,100,"9",100,"3",33.3
"2731","Erumapetty CHCArea","2015-16",13,"3,342","2,651","1,320",79.3,39.5,"3,128","1,972",93.6,59,"1,600",47.9,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","2,891",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2741","GH Irinjalakuda","2015-16",13,"101","72","35",71.3,34.7,"40","64",39.6,63.4,"0",0,"0","0",NA,0,NA,NA,NA,NA,NA,NA,"447",0,0,"580",574.3,"580",100,100,0,"283","94",65,63.3,70.7,77.1,57,0,22.9,"580","167",100,28.8,"581",100.2,0,100,"581",100,"96",16.5
"2751","GH THRISSUR","2015-16",13,"0","0","0",NA,NA,"0","1,476",NA,NA,"208",NA,"566","12",2.1,NA,NA,NA,NA,NA,NA,NA,"2,807",0,0,"9,728",NA,"9,728",100,100,0,"919","2,787",38.1,32.7,40.3,28.9,35.1,0,71.1,"9,728","9,728",100,100,"9,873",101.5,49,99.5,"9,873",100,"1,476",14.9
"2761","Kadappuram CHCArea","2015-16",13,"1,415","1,070","574",75.6,40.6,"1,561","261",110.3,18.4,"374",26.4,"2","0",0,0,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,125",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2771","Madavana CHCArea","2015-16",13,"1,465","1,265","512",86.3,34.9,"1,384","593",94.5,40.5,"1,006",68.7,"4","0",0,0,0,0,0,NA,0,NA,"0",0,NA,"58",4,"58",100,100,0,"0","42",72.4,NA,72.4,0,NA,NA,100,"58","1,366",100,2355.2,"59",101.7,0,100,"59",100,"4",6.8
"2781","Mambra BPHCArea","2015-16",13,"1,153","991","346",85.9,30,"1,043","356",90.5,30.9,"725",62.9,"2",NA,0,0,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0",NA,NA,NA,NA,NA,NA,NA,NA,"1","994",100,9400,"1",100,0,100,"1",100,"0",0
"2791","Mattathur CHCArea","2015-16",13,"2,834","2,503","934",88.3,33,"2,997","1,449",105.8,51.1,"1,481",52.3,"439","34",7.7,0.9,1,0,1,0,0,0,"1",1,100,"704",24.8,"705",99.9,99.9,0.1,"0","424",60.2,0,60.3,0.1,0,0,99.9,"706","2,503",100.1,355,"707",100.3,1,99.9,"706",99.9,"64",9.1
"2801","Mullasserry CHCArea","2015-16",13,"1,437","1,185","461",82.5,32.1,"1,445","365",100.6,25.4,"27",1.9,"10","0",0,1.1,0,0,0,NA,0,NA,"0",0,NA,"131",9.1,"131",100,100,0,"0","79",60.3,NA,60.3,0,NA,NA,100,"131","1,453",100,1109.2,"134",102.3,0,100,"133",99.3,"28",21.1
"2811","Ollur CHCArea","2015-16",13,"2,402","1,855","681",77.2,28.4,"2,457","1,492",102.3,62.1,"1,202",50,"2","0",0,0,1,1,0,100,0,0,"0",0,NA,"1,684",70.1,"1,685",99.9,100,0.1,"0","627",37.2,NA,37.2,0,NA,NA,100,"1,684","3,775",99.9,224,"1,692",100.4,7,99.6,"1,692",100,"173",10.2
"2821","Pamboor BPHCArea","2015-16",13,"826","605","315",73.2,38.1,"750","394",90.8,47.7,"597",72.3,"1",NA,0,0,0,0,0,NA,0,NA,"2,423",0,0,"2,423",293.3,"2,423",100,100,0,"1,076",NA,44.4,44.4,NA,100,3.9,0.6,0,"2,423","698",100,28.8,"2,463",101.7,0,100,"2,463",100,"249",10.1
"2831","Pazhanji CHCArea","2015-16",13,"2,582","2,111","807",81.8,31.3,"2,369","2,268",91.8,87.8,"868",33.6,"35","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"3,884",150.4,"3,884",100,100,0,"0","1,734",44.6,NA,44.6,0,NA,NA,100,"3,884","3,736",100,96.2,"3,883",100,3,99.9,"3,883",100,"156",4
"2841","Perinjanam CHCArea","2015-16",13,"2,434","2,037","1,003",83.7,41.2,"2,299","889",94.5,36.5,"266",10.9,"0","0",NA,0,1,0,1,0,0,0,"0",0,NA,"125",5.1,"126",99.2,99.2,0.8,"0","48",38.4,NA,38.4,0,NA,NA,100,"126","2,184",100,1733.3,"126",100,0,100,"126",100,"1",0.8
"2851","Puthenchira CHCArea","2015-16",13,"672","528","192",78.6,28.6,"663","188",98.7,28,"589",87.6,"0","0",NA,1.5,0,0,0,NA,0,NA,"0",0,NA,"126",18.8,"126",100,100,0,"0","78",61.9,NA,61.9,0,NA,NA,100,"126","461",100,365.9,"125",99.2,2,98.4,"125",100,"16",12.8
"2861","TH Kunnamkulam","2015-16",13,"0","0","0",NA,NA,"53","1,183",NA,NA,"1,043",NA,"167","33",19.8,NA,NA,NA,NA,NA,NA,NA,"382",0,0,"1,221",NA,"1,221",100,100,0,"196","579",63.5,51.3,69,31.3,40.1,0,68.7,"1,221","1,386",100,113.5,"1,225",100.3,0,100,"1,225",100,"130",10.6
"2871","THQH Chalakudy","2015-16",13,"88","47","39",53.4,44.3,"49","1,828",55.7,2077.3,"1,341",1523.9,"483","4",0.8,23.9,NA,NA,NA,NA,NA,NA,"424",0,0,"3,362",3820.5,"3,362",100,100,0,"234","1,635",55.6,55.2,55.7,12.6,49.8,0,87.4,"3,362","2,647",100,78.7,"3,369",100.2,2,99.9,"3,369",100,"365",10.8
"2881","THQH Chavakkad","2015-16",13,"382","167","283",43.7,74.1,"238","274",62.3,71.7,"155",40.6,"1,316","43",3.3,0,NA,NA,NA,NA,NA,NA,"398",0,0,"1,043",273,"1,043",100,100,0,"213","334",52.4,53.5,51.8,38.2,67.1,2.3,61.8,"1,043","651",100,62.4,"1,050",100.7,0,100,"1,040",99,"126",12.1
"2891","THQH Kodungallur","2015-16",13,"67","44","67",65.7,100,"83","2,523",123.9,3765.7,"228",340.3,"753","130",17.3,28.4,NA,NA,NA,NA,NA,NA,"1,144",0,0,"5,415",8082.1,"5,415",100,100,0,"561","2,335",53.5,49,54.7,21.1,51.7,4.5,78.9,"5,415","2,986",100,55.1,"5,458",100.8,4,99.9,"5,458",100,"759",13.9
"2901","THQH Wadakanchery","2015-16",13,"116","83","103",71.6,88.8,"121","480",104.3,413.8,"76",65.5,"640","21",3.3,1.7,NA,NA,NA,NA,NA,NA,"621",0,0,"1,013",873.3,"1,013",100,100,0,"213","182",39,34.3,46.4,61.3,0.2,0,38.7,"1,013","345",100,34.1,"1,020",100.7,0,100,"1,020",100,"63",6.2
"2911","Thiruvilwamala CHCArea","2015-16",13,"2,445","2,029","1,322",83,54.1,"2,223","1,455",90.9,59.5,"472",19.3,"568","20",3.5,2.1,3,1,2,33.3,0,0,"1",0,0,"478",19.6,"481",99.4,99.6,0.6,"0","189",39.5,0,39.6,0.2,0,0,99.8,"478","2,722",99.4,565.9,"483",100.4,0,100,"481",99.6,"22",4.6
"2921","Tholur CHCArea","2015-16",13,"1,881","1,460","497",77.6,26.4,"1,592","1,677",84.6,89.2,"1,753",93.2,"9","0",0,0,0,0,0,NA,0,NA,"0",0,NA,"4,828",256.7,"4,828",100,100,0,"0","1,701",35.2,NA,35.2,0,NA,NA,100,"4,828","3,564",100,73.8,"4,886",101.2,2,100,"4,886",100,"306",6.3
"2931","Vadakkekad CHCArea","2015-16",13,"1,618","966","631",59.7,39,"1,426","300",88.1,18.5,"457",28.2,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"283",17.5,"283",100,100,0,"0","87",30.7,NA,30.7,0,NA,NA,100,"283","493",100,174.2,"285",100.7,0,100,"285",100,"23",8.1
"2941","Vatanapilly CHCArea","2015-16",13,"1,777","1,292","765",72.7,43.1,"1,509","1,408",84.9,79.2,"3,842",216.2,"129","0",0,1.8,0,0,0,NA,0,NA,"0",0,NA,"709",39.9,"709",100,100,0,"0","304",42.9,NA,42.9,0,NA,NA,100,"709","1,812",100,255.6,"712",100.4,3,99.6,"712",100,"55",7.7
"2951","Vellangallur CHCArea","2015-16",13,"964","758","374",78.6,38.8,"906","585",94,60.7,"672",69.7,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"765",79.4,"765",100,100,0,"0","471",61.6,NA,61.6,0,NA,NA,100,"765","836",100,109.3,"772",100.9,2,99.7,"772",100,"34",4.4
"2961","Vellanikkara CHCArea","2015-16",13,"2,113","1,660","828",78.6,39.2,"1,559","812",73.8,38.4,"19",0.9,"0","0",NA,0,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,724",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2971","Vilvattom BPHCArea","2015-16",13,"665","469","296",70.5,44.5,"602","535",90.5,80.5,"246",37,"541","25",4.6,0.9,0,0,0,NA,0,NA,"0",0,NA,"1,545",232.3,"1,545",100,100,0,"0","598",38.7,NA,38.7,0,NA,NA,100,"1,545","1,125",100,72.8,"1,545",100,2,99.9,"1,545",100,"83",5.4
"2991","CHC MEENANGADY","2015-16",14,"3,046","2,734","2,107",89.8,69.2,"2,781","1,579",91.3,51.8,"2,501",82.1,"923","14",1.5,3.1,25,3,22,12,0,0,"999",0,0,"1,976",64.9,"2,001",98.8,98.9,1.2,"379","348",36.8,37.9,35.6,50.6,89.5,0,49.4,"1,929","3,823",96.4,191.1,"2,007",100.3,11,99.5,"2,007",100,"257",12.8
"3001","CHC MEPPADY","2015-16",14,"1,894","1,727","1,402",91.2,74,"1,685","2,832",89,149.5,"1,898",100.2,"370","65",17.6,20.9,18,3,15,16.7,0,0,"814",1,0.1,"4,439",234.4,"4,457",99.6,99.7,0.4,"145","795",21.2,17.8,21.9,18.3,51.8,0,81.7,"4,450","5,809",99.8,130.3,"4,465",100.2,23,99.5,"4,465",100,"429",9.6
"3011","CHC PORUNNANORE","2015-16",14,"4,297","3,709","3,102",86.3,72.2,"3,780","2,283",88,53.1,"3,662",85.2,"1,610","0",0,1.7,73,3,70,4.1,2,2.7,"0",0,NA,"0",0,"73",0,4.1,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"125","2,400",171.2,3287.7,"69",94.5,4,94.5,"69",100,"31",44.9
"3021","CHC PULPALLY","2015-16",14,"2,684","2,389","1,630",89,60.7,"2,368","1,103",88.2,41.1,"2,215",82.5,"882","2",0.2,1.6,66,2,64,3,2,3,"3",4,133.3,"15",0.6,"81",18.5,21,81.5,"0","4",26.7,0,33.3,20,5033.3,0,80,"123","1,652",151.9,2039.5,"81",100,1,98.8,"80",98.8,"34",42.5
"3031","CHC THARIYODE","2015-16",14,"1,621","1,484","952",91.5,58.7,"1,465","833",90.4,51.4,"1,414",87.2,"446","3",0.7,0.6,18,4,14,22.2,0,0,"0",0,NA,"0",0,"18",0,22.2,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"19","1,030",105.6,5722.2,"18",100,0,100,"17",94.4,"11",64.7
"3041","MANANTHAVADY","2015-16",14,"100","77","95",77,95,"85","662",85,662,"73",73,"1,036","120",11.6,17,0,0,0,NA,0,NA,"1,748",0,0,"2,480",2480,"2,480",100,100,0,"365","240",24.4,20.9,32.8,70.5,56.5,0,29.5,"2,365","1,197",95.4,48.3,"2,491",100.4,1,100,"2,491",100,"599",24
"3051","SULTHAN BATHERY","2015-16",14,"55","49","3",89.1,5.5,"50","1,841",90.9,3347.3,"458",832.7,"387","0",0,83.6,0,0,0,NA,0,NA,"1,297",0,0,"4,194",7625.5,"4,194",100,100,0,"296","1,302",38.1,22.8,44.9,30.9,35.4,0,69.1,"3,934","952",93.8,22.7,"4,231",100.9,21,99.5,"4,231",100,"688",16.3
"3061","THQH VYTHIRI","2015-16",14,"38","37","68",97.4,178.9,"41","77",107.9,202.6,"149",392.1,"11","0",0,0,0,0,0,NA,0,NA,"81",0,0,"81",213.2,"81",100,100,0,"14",NA,17.3,17.3,NA,100,488.9,0,0,"80","18",98.8,22.2,"81",100,1,98.8,"81",100,"18",22.2
